Latitude,Longitude,Time of Observation,,Sea Level Pressure,Characteristics of Pressure Tendency,Pressure Tendency,Air Temperature,Dew Point Temperature,Wave Period,Wave Height,Swell Direction,Swell Period,Swell Height,Total Cloud Amount,Low Cloud Amount,Cloud Height,Middle Cloud Type,High Cloud Type,Visibility,Present Weather,Past Weather,Wind Direction,Wind Speed,Pressure Classification,Fishing Conditions,Fishing day,Catch Rate
-35.8,2.9,2015-01-12T00:00:00,,29.83,8,0,70.5,65.5, , , , , ,7, ,5, , ,97,3,2,300,139,M,N,Y,446
-35.9,6.9,2015-01-12T12:00:00,,29.93,1,0,66.2,56.1,9,10, , , ,8, ,2,1,A,97,2,2,180,165,M,N,Y,456
-35.9,8.6,2015-01-12T18:00:00,,30.02,1,0,61.2,48.9,7,7,24,12,8,8, ,2,0,0,97,2,2,170,154,M,N,Y,466
-35.7,11.9,2015-01-13T06:00:00,,30.14,0,0,64.6,45,8,7,22,9,8,7, ,3,0,0,98,1,2,140,118,M,N,Y,476
-35.6,13.7,2015-01-13T12:00:00,,30.12,8, ,66.7,50.5,8,7, , , ,4, ,5,7,A,98,2,1,160,123,M,N,Y,486
-35.4,15.5,2015-01-13T18:00:00,,30.08,5,0,68.4,48.9, , , , , ,6, ,3, , ,97, , ,120,118,M,N,Y,496
-35.3,17.1,2015-01-14T00:00:00,,30.01,8,0,68,57.9, , , , , ,8,1,2,1,A,97,3,2,140,139,M,N,Y,506
-35.2,18.6,2015-01-14T06:00:00,,29.98,3,0,69.3,61.7,3,14,20,12,8,8, ,3,0,0,97,2,2,100,154,M,N,Y,516
-35.2,20.3,2015-01-14T12:00:00,,29.91,8,0,80.6,57.4,8,6, , , ,7, ,2,A,A,97,2,2,80,129,M,N,Y,526
-35.1,21.8,2015-01-14T18:00:00,,29.88,3,0,73.2,64.8,6,6,9,9,7,3,2,3,1,5,97,2,0,90,154,M,N,Y,536
-34.5,24.8,2015-01-15T06:00:00,,29.75,3,0,73.9,68.2,6,5,3,8,8,4,1,4,1,8,97,1,1,60,139,M,N,Y,546
-34,26.3,2015-01-15T12:00:00,,29.66,8,0,80.6,70, , , , , ,2, ,5,A,4,97,1,0,70,139,M,N,Y,556
-33.4,27.5,2015-01-15T18:00:00,,29.54,8,0,75.6,70.3,8,6,7,8,7,6,4,4,1,8,97,92,9,60,232,L,S,Y,566
-32.7,28.5,2015-01-16T00:00:00,,29.59,8,0,75.2,68.5, , , , , , , ,A, , ,97,2,0,50,154,L,S,Y,576
-31.9,29.5,2015-01-16T06:00:00,, , , ,79.3, , , , , , ,1, ,9, , ,98, , ,20,87,L,S,Y,586
-30.9,30.4,2015-01-16T12:00:00,,29.53,8,0,82.4,73.2, , , , , ,1, ,5,A,A,97,2,0,50,93,M,N,Y,596
-29.9,31.3,2015-01-17T06:00:00,,29.97,1,0,76.1,57.2, , , , , ,4, ,3, , ,97, , ,240,180,L,S,Y,606
-29.5,32.7,2015-01-20T12:00:00,,30.06,7,0,75.2,57.4,6,6, , , ,7, ,5,7,A,98,3,2,170,103,M,N,Y,616
-28.8,36.2,2015-01-21T00:00:00,,30.05,7,0,72.3,56.3, , , , , ,1, ,A, , ,98,2,0,130,67,M,N,Y,626
